,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
442,tt0089360,Jagged Edge,English,USA,108,R,60.0,15000000.0,Columbia Pictures,Best Actor in a Supporting Role,1,Joe Eszterhas,,Richard Marquand,Jeff Bridges,Glenn Close,Peter Coyote,Drama' 'Mystery,Drama,Mystery,1985-10-04,Fall
443,tt5580390,The Shape of Water,English,USA,123,R,87.0,19400000.0,Twentieth Century Fox,Best Motion Picture of the Year,13,Guillermo del Toro,Vanessa Taylor,Guillermo del Toro,Sally Hawkins,Octavia Spencer,Michael Shannon,Adventure' 'Drama,Adventure,Drama,2017-12-22,Winter
456,tt1291584,Warrior,English,USA,140,PG-13,71.0,25000000.0,Lionsgate,Best Performance by an Actor in a Supporting Role,1,"""Gavin O'Connor""",Anthony Tambakis,"""Gavin O'Connor""",Tom Hardy,Nick Nolte,Joel Edgerton,Action' 'Drama,Action,Drama,2011-09-09,Fall
457,tt6304162,Loveless,Russian,Russia,127,R,86.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Oleg Negin,Andrey Zvyagintsev,Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,Drama,Drama,,2017-06-01,Summer
458,tt0113627,Leaving Las Vegas,English,France,111,R,82.0,3600000.0,MGM/UA Distribution Company,Best Actor in a Leading Role,4,"""John O'Brien""",Mike Figgis,Mike Figgis,Nicolas Cage,Elisabeth Shue,Julian Sands,Drama' 'Romance,Drama,Romance,1996-02-09,Winter
462,tt0175880,Magnolia,English,USA,188,R,77.0,37000000.0,HBO Max,Best Actor in a Supporting Role,3,Paul Thomas Anderson,,Paul Thomas Anderson,Tom Cruise,Jason Robards,Julianne Moore,Drama,Drama,,2000-01-07,Winter
465,tt0086423,Tender Mercies,English,USA,92,PG,76.0,46170129.883116886,Universal Pictures,Best Actor in a Leading Role,5,Horton Foote,,Bruce Beresford,Robert Duvall,Tess Harper,Betty Buckley,Drama' 'Music,Drama,Music,1983-06-10,Summer
471,tt1532503,Beginners,English,USA,105,R,81.0,3200000.0,Focus Features,Best Performance by an Actor in a Supporting Role,1,Mike Mills,,Mike Mills,Ewan McGregor,Christopher Plummer,Mélanie Laurent,Comedy' 'Drama,Comedy,Drama,2011-06-09,Summer
472,tt0180093,Requiem for a Dream,English,USA,102,R,68.0,4500000.0,Artisan Entertainment,Best Actress in a Leading Role,1,Hubert Selby Jr.,Hubert Selby Jr.,Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennifer Connelly,Drama,Drama,,2000-12-15,Winter
474,tt0094056,Street Smart,English,USA,97,R,70.0,5000000.0,The Cannon Group,Best Actor in a Supporting Role,1,David Freeman,,Jerry Schatzberg,Christopher Reeve,Kathy Baker,Mimi Rogers,Crime' 'Drama,Crime,Drama,1987-03-20,Winter
475,tt0174856,The Hurricane,English,USA,146,R,74.0,50000000.0,Universal Pictures,Best Actor in a Leading Role,1,"""Rubin 'Hurricane' Carter""",Sam Chaiton,Norman Jewison,Denzel Washington,Vicellous Shannon,Deborah Kara Unger,Biography' 'Drama,Biography,Drama,2000-01-14,Winter
476,tt0380510,The Lovely Bones,English,USA,135,PG-13,42.0,65000000.0,Paramount Pictures,Best Performance by an Actor in a Supporting Role,1,Fran Walsh,Philippa Boyens,Peter Jackson,Rachel Weisz,Mark Wahlberg,Saoirse Ronan,Drama' 'Fantasy,Drama,Fantasy,2010-01-15,Winter
477,tt0111495,Three Colors: Red,French,Switzerland,99,R,100.0,25631250.0,Miramax,Best Cinematography,3,Krzysztof Kieslowski,Krzysztof Piesiewicz,Krzysztof Kieslowski,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Drama' 'Mystery,Drama,Mystery,1994-11-23,Fall
480,tt0375679,Crash,English,USA,112,R,66.0,6500000.0,Lions Gate Films,Best Motion Picture of the Year,6,Paul Haggis,Paul Haggis,Paul Haggis,Don Cheadle,Sandra Bullock,Thandie Newton,Crime' 'Drama,Crime,Drama,2005-05-06,Spring
486,tt0098384,Steel Magnolias,English,USA,117,PG,56.0,15000000.0,TriStar Pictures,Best Actress in a Supporting Role,1,Robert Harling,Robert Harling,Herbert Ross,Shirley MacLaine,Olympia Dukakis,Sally Field,Comedy' 'Drama,Comedy,Drama,1989-11-22,Fall
487,tt0401383,The Diving Bell and the Butterfly,French,France,112,PG-13,92.0,25631250.0,Miramax,Best Achievement in Directing,16,Ronald Harwood,Jean-Dominique Bauby,Julian Schnabel,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze,Biography' 'Drama,Biography,Drama,2008-02-01,Winter
497,tt0120586,American History X,English,USA,119,R,62.0,20000000.0,New Line Cinema,Best Actor in a Leading Role,1,David McKenna,,Tony Kaye,Edward Norton,Edward Furlong,"""Beverly D'Angelo""",Drama,Drama,,1998-11-20,Fall
498,tt0265086,Black Hawk Down,English,USA,144,R,74.0,92000000.0,Columbia Pictures,Best Director,4,Mark Bowden,Ken Nolan,Ridley Scott,Josh Hartnett,Ewan McGregor,Tom Sizemore,Drama' 'History,Drama,History,2002-01-18,Winter
504,tt0118607,Amistad,English,USA,155,R,63.0,36000000.0,DreamWorks Distribution,Best Actor in a Supporting Role,4,David Franzoni,,Steven Spielberg,Djimon Hounsou,Matthew McConaughey,Anthony Hopkins,Biography' 'Drama,Biography,Drama,1997-12-25,Winter
509,tt0443489,Dreamgirls,English,USA,130,PG-13,76.0,70000000.0,Paramount Pictures,Best Performance by an Actor in a Supporting Role,6,Tom Eyen,Bill Condon,Bill Condon,Beyoncé,Jamie Foxx,Eddie Murphy,Drama' 'Music,Drama,Music,2006-12-25,Winter
515,tt0172396,The End of the Affair,English,UK,102,R,65.0,23000000.0,Columbia Pictures,Best Actress in a Leading Role,2,Graham Greene,Neil Jordan,Neil Jordan,Ralph Fiennes,Julianne Moore,Stephen Rea,Drama' 'Romance,Drama,Romance,2000-01-21,Winter
517,tt0127536,Elizabeth,English,UK,124,R,75.0,30000000.0,Gramercy Pictures,Best Actress in a Leading Role,7,Michael Hirst,,Shekhar Kapur,Cate Blanchett,Liz Giles,Rod Culbertson,Biography' 'Drama,Biography,Drama,1999-02-19,Winter
524,tt4034228,Manchester by the Sea,English,USA,137,R,96.0,9000000.0,Roadside Attractions,Best Motion Picture of the Year,6,Kenneth Lonergan,,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Drama,Drama,,2016-12-16,Winter
531,tt0120324,A Simple Plan,English,UK,121,R,82.0,30000000.0,Paramount Pictures,Best Actor in a Supporting Role,2,Scott B. Smith,Scott B. Smith,Sam Raimi,Bill Paxton,Billy Bob Thornton,Bridget Fonda,Crime' 'Drama,Crime,Drama,1999-01-22,Winter
533,tt0094027,Stand and Deliver,English,USA,103,PG,77.0,62519565.217391305,Warner Bros.,Best Actor in a Leading Role,1,Ramón Menéndez,Tom Musca,Ramón Menéndez,Edward James Olmos,Estelle Harris,Mark Phelan,Biography' 'Drama,Biography,Drama,1988-03-11,Winter
534,tt0287467,Talk to Her,Spanish,Spain,112,R,86.0,11364285.714285715,Sony Pictures Classics,Best Director,2,Pedro Almodóvar,,Pedro Almodóvar,Rosario Flores,Javier Cámara,Darío Grandinetti,Drama' 'Mystery,Drama,Mystery,2003-02-14,Winter
541,tt0318374,The Cooler,English,USA,101,R,69.0,3200000.0,Lions Gate Films,Best Actor in a Supporting Role,1,Frank Hannah,Wayne Kramer,Wayne Kramer,William H. Macy,Maria Bello,Alec Baldwin,Drama' 'Romance,Drama,Romance,2004-01-16,Winter
543,tt4846340,Hidden Figures,English,USA,127,PG,74.0,25000000.0,Twentieth Century Fox,Best Motion Picture of the Year,3,Allison Schroeder,Theodore Melfi,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Biography' 'Drama,Biography,Drama,2017-01-06,Winter
546,tt0120737,The Lord of the Rings: The Fellowship of the Ring,English,New Zealand,178,PG-13,92.0,93000000.0,New Line Cinema,Best Picture,13,J.R.R. Tolkien,Fran Walsh,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Action' 'Adventure,Action,Adventure,2001-12-19,Winter
561,tt2125435,Beasts of the Southern Wild,English,USA,93,PG-13,86.0,1800000.0,Fox Searchlight Pictures,Best Motion Picture of the Year,4,Lucy Alibar,Benh Zeitlin,Benh Zeitlin,Quvenzhané Wallis,Dwight Henry,Levy Easterly,Adventure' 'Drama,Adventure,Drama,2012-07-05,Summer
565,tt0100935,Wild at Heart,English,USA,125,R,52.0,9500000.0,The Samuel Goldwyn Company,Best Actress in a Supporting Role,1,Barry Gifford,David Lynch,David Lynch,Nicolas Cage,Laura Dern,Willem Dafoe,Comedy' 'Crime,Comedy,Crime,1990-08-17,Summer
566,tt0083922,Fanny and Alexander,Swedish,Sweden,188,R,100.0,6000000.0,Embassy Pictures,Best Art Direction-Set Decoration,6,Ingmar Bergman,,Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson,Drama,Drama,,1982-12-17,Winter
572,tt3513548,Richard Jewell,English,USA,131,R,68.0,45000000.0,Warner Bros.,Best Performance by an Actress in a Supporting Role,1,Billy Ray,Marie Brenner,Clint Eastwood,Paul Walter Hauser,Sam Rockwell,Brandon Stanley,Biography' 'Crime,Biography,Crime,2019-12-13,Winter
573,tt0100486,Reversal of Fortune,English,USA,111,R,93.0,62519565.217391305,Warner Bros.,Best Actor in a Leading Role,3,Alan Dershowitz,Nicholas Kazan,Barbet Schroeder,Jeremy Irons,Glenn Close,Ron Silver,Biography' 'Drama,Biography,Drama,1990-11-09,Fall
576,tt0097937,My Left Foot,English,Ireland,103,R,97.0,25631250.0,Miramax,Best Actor in a Leading Role,5,Shane Connaughton,Jim Sheridan,Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Biography' 'Drama,Biography,Drama,1990-03-30,Winter
581,tt5776858,Phantom Thread,English,USA,130,R,90.0,35000000.0,Focus Features,Best Motion Picture of the Year,6,Paul Thomas Anderson,,Paul Thomas Anderson,Vicky Krieps,Daniel Day-Lewis,Lesley Manville,Drama' 'Romance,Drama,Romance,2018-01-19,Winter
587,tt2671706,Fences,English,USA,139,PG-13,79.0,24000000.0,Paramount Pictures,Best Motion Picture of the Year,4,August Wilson,August Wilson,Denzel Washington,Denzel Washington,Viola Davis,Stephen McKinley Henderson,Drama,Drama,,2016-12-25,Winter
591,tt1255953,Incendies,French,Canada,131,R,80.0,6800000.0,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Denis Villeneuve,Wajdi Mouawad,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Drama' 'Mystery,Drama,Mystery,2011-01-12,Winter
593,tt0098319,Shirley Valentine,English,UK,108,R,52.0,57653608.24742268,Paramount Pictures,Best Actress in a Leading Role,2,Willy Russell,Willy Russell,Lewis Gilbert,Pauline Collins,Tom Conti,Julia McKenzie,Comedy' 'Drama,Comedy,Drama,1989-08-30,Summer
595,tt0842926,The Kids Are All Right,English,USA,106,R,86.0,4000000.0,Focus Features,Best Motion Picture of the Year,4,Lisa Cholodenko,Stuart Blumberg,Lisa Cholodenko,Annette Bening,Julianne Moore,Mark Ruffalo,Comedy' 'Drama,Comedy,Drama,2010-07-30,Summer
599,tt0918927,Doubt,English,USA,104,PG-13,68.0,20000000.0,Miramax,Best Performance by an Actress in a Leading Role,4,John Patrick Shanley,John Patrick Shanley,John Patrick Shanley,Meryl Streep,Philip Seymour Hoffman,Amy Adams,Drama' 'Mystery,Drama,Mystery,2008-12-25,Winter
603,tt3716530,Elle,French,France,130,R,89.0,11364285.714285715,Sony Pictures Classics,Best Performance by an Actress in a Leading Role,1,Philippe Djian,David Birke,Paul Verhoeven,Isabelle Huppert,Laurent Lafitte,Anne Consigny,Crime' 'Drama,Crime,Drama,2016-11-11,Fall
604,tt1655442,The Artist,English,France,100,PG-13,89.0,15000000.0,The Weinstein Company,Best Motion Picture of the Year,10,Michel Hazanavicius,,Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,John Goodman,Comedy' 'Drama,Comedy,Drama,2012-01-20,Winter
614,tt0445620,Paradise Now,Arabic,Palestine,91,PG-13,71.0,2000000.0,Warner Independent Pictures,Best Foreign Language Film of the Year,1,Hany Abu-Assad,Bero Beyer,Hany Abu-Assad,Kais Nashif,Ali Suliman,Lubna Azabal,Crime' 'Drama,Crime,Drama,2005-11-18,Fall
617,tt0095497,The Last Temptation of Christ,English,Canada,164,R,80.0,7000000.0,Universal Pictures,Best Director,1,Nikos Kazantzakis,Paul Schrader,Martin Scorsese,Willem Dafoe,Harvey Keitel,Barbara Hershey,Drama,Drama,,1988-09-09,Fall
618,tt0089841,Prizzi's Honor,English,USA,130,R,84.0,52170833.333333336,Twentieth Century Fox,Best Actor in a Leading Role,8,Richard Condon,Richard Condon,John Huston,Jack Nicholson,Kathleen Turner,Robert Loggia,Comedy' 'Crime,Comedy,Crime,1985-06-14,Summer
629,tt0088172,Starman,English,USA,115,PG,70.0,22000000.0,Columbia Pictures,Best Actor in a Leading Role,1,Bruce A. Evans,Raynold Gideon,John Carpenter,Jeff Bridges,Karen Allen,Charles Martin Smith,Romance' 'Sci-Fi,Romance,Sci-Fi,1984-12-14,Winter
630,tt0097243,A Dry White Season,Afrikaans,USA,106,R,68.0,9000000.0,Metro-Goldwyn-Mayer,Best Actor in a Supporting Role,1,André P. Brink,Colin Welland,Euzhan Palcy,Donald Sutherland,Janet Suzman,Zakes Mokae,Drama' 'Thriller,Drama,Thriller,1989-09-20,Fall
631,tt0443272,Lincoln,English,USA,150,PG-13,86.0,65000000.0,Touchstone Pictures,Best Motion Picture of the Year,12,Tony Kushner,Doris Kearns Goodwin,Steven Spielberg,Daniel Day-Lewis,Sally Field,David Strathairn,Biography' 'Drama,Biography,Drama,2012-11-16,Fall
643,tt0104454,Howards End,English,UK,142,PG,89.0,11364285.714285715,Sony Pictures Classics,Best Actress in a Leading Role,9,E.M. Forster,Ruth Prawer Jhabvala,James Ivory,Anthony Hopkins,Emma Thompson,Vanessa Redgrave,Drama' 'Romance,Drama,Romance,1993-02-26,Winter
652,tt0140352,The Insider,English,USA,157,R,84.0,90000000.0,Spyglass Entertainment,Best Actor in a Leading Role,7,Marie Brenner,Eric Roth,Michael Mann,Russell Crowe,Al Pacino,Christopher Plummer,Biography' 'Drama,Biography,Drama,1999-11-05,Fall
659,tt0257360,About Schmidt,English,USA,125,R,85.0,30000000.0,New Line Cinema,Best Actor in a Leading Role,2,Louis Begley,Alexander Payne,Alexander Payne,Jack Nicholson,Hope Davis,Dermot Mulroney,Comedy' 'Drama,Comedy,Drama,2003-01-03,Winter
661,tt1120985,Blue Valentine,English,USA,112,R,81.0,1000000.0,The Weinstein Company,Best Performance by an Actress in a Leading Role,1,Derek Cianfrance,Joey Curtis,Derek Cianfrance,Ryan Gosling,Michelle Williams,John Doman,Drama' 'Romance,Drama,Romance,2011-01-28,Winter
662,tt1454029,The Help,English,USA,146,PG-13,62.0,25000000.0,Walt Disney Studios Motion Pictures,Best Motion Picture of the Year,3,Tate Taylor,Kathryn Stockett,Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Drama,Drama,,2011-08-10,Summer
665,tt0085478,Educating Rita,English,UK,110,PG,52.0,40053846.15384615,Columbia Pictures,Best Actor in a Leading Role,3,Willy Russell,Willy Russell,Lewis Gilbert,Michael Caine,Julie Walters,Michael Williams,Comedy' 'Drama,Comedy,Drama,1983-10-28,Fall
668,tt0203009,Moulin Rouge!,English,Australia,127,PG-13,66.0,50000000.0,Twentieth Century Fox,Best Picture,8,Baz Luhrmann,Craig Pearce,Baz Luhrmann,Nicole Kidman,Ewan McGregor,John Leguizamo,Drama' 'Musical,Drama,Musical,2001-06-01,Summer
676,tt0468569,The Dark Knight,English,USA,152,PG-13,84.0,185000000.0,Warner Bros.,Best Performance by an Actor in a Supporting Role,8,Jonathan Nolan,Christopher Nolan,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Action' 'Crime,Action,Crime,2008-07-18,Summer
684,tt3783958,La La Land,English,USA,128,PG-13,94.0,30000000.0,Lionsgate,Best Motion Picture of the Year,13,Damien Chazelle,,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,Comedy' 'Drama,Comedy,Drama,2016-12-25,Winter
697,tt0134119,The Talented Mr. Ripley,English,USA,139,R,76.0,40000000.0,Paramount Pictures,Best Actor in a Supporting Role,5,Patricia Highsmith,Anthony Minghella,Anthony Minghella,Matt Damon,Gwyneth Paltrow,Jude Law,Crime' 'Drama,Crime,Drama,1999-12-25,Winter
702,tt0102926,The Silence of the Lambs,English,USA,118,R,85.0,19000000.0,Orion Pictures,Best Actor in a Leading Role,7,Thomas Harris,Ted Tally,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Crime' 'Drama,Crime,Drama,1991-02-14,Winter
709,tt3841424,Land of Mine,German,Denmark,100,R,75.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Martin Zandvliet,,Martin Zandvliet,Roland Møller,Louis Hofmann,Joel Basman,Drama' 'History,Drama,History,2015-12-03,Winter
710,tt4550098,Nocturnal Animals,English,USA,116,R,67.0,22500000.0,Focus Features,Best Performance by an Actor in a Supporting Role,1,Tom Ford,Austin Wright,Tom Ford,Amy Adams,Jake Gyllenhaal,Michael Shannon,Drama' 'Thriller,Drama,Thriller,2016-12-09,Winter
712,tt0078841,Being There,English,West Germany,130,PG,83.0,20666666.666666668,United Artists,Best Actor in a Leading Role,2,Jerzy Kosinski,Jerzy Kosinski,Hal Ashby,Peter Sellers,Shirley MacLaine,Melvyn Douglas,Comedy' 'Drama,Comedy,Drama,1980-02-08,Winter
714,tt0080009,Tess,English,UK,186,PG,82.0,12000000.0,Columbia Pictures,Best Art Direction-Set Decoration,6,Gérard Brach,Roman Polanski,Roman Polanski,Nastassja Kinski,Peter Firth,Leigh Lawson,Drama' 'Romance,Drama,Romance,1980-12-12,Winter
720,tt0363163,Downfall,German,Germany,156,R,82.0,12625000.0,Newmarket Films,Best Foreign Language Film of the Year,1,Bernd Eichinger,Joachim Fest,Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,Biography' 'Drama,Biography,Drama,2005-04-08,Spring
722,tt5311542,Never Look Away,German,Germany,189,R,68.0,11364285.714285715,Sony Pictures Classics,Best Achievement in Cinematography,2,Florian Henckel von Donnersmarck,,Florian Henckel von Donnersmarck,Tom Schilling,Sebastian Koch,Paula Beer,Biography' 'Drama,Biography,Drama,2018-10-03,Fall
724,tt0311648,Pieces of April,English,USA,80,PG-13,70.0,300000.0,United Artists,Best Actress in a Supporting Role,1,Peter Hedges,,Peter Hedges,Katie Holmes,Oliver Platt,Patricia Clarkson,Comedy' 'Drama,Comedy,Drama,2003-11-28,Fall
725,tt0243155,Bridget Jones's Diary,English,UK,97,R,66.0,25000000.0,Miramax,Best Actress in a Leading Role,1,Helen Fielding,Helen Fielding,Sharon Maguire,Renée Zellweger,Colin Firth,Hugh Grant,Comedy' 'Drama,Comedy,Drama,2001-04-13,Spring
726,tt0091538,Mona Lisa,English,UK,104,R,85.0,,Island Pictures,Best Actor in a Leading Role,1,Neil Jordan,David Leland,Neil Jordan,Bob Hoskins,Cathy Tyson,Michael Caine,Crime' 'Drama,Crime,Drama,1986-06-13,Summer
728,tt1417075,In Darkness,Polish,Poland,145,R,74.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Robert Marshall,David F. Shamoon,Agnieszka Holland,Robert Wieckiewicz,Benno Fürmann,Agnieszka Grochowska,Drama' 'War,Drama,War,2012-01-05,Winter
729,tt0090329,Witness,English,USA,112,R,76.0,12000000.0,Paramount Pictures,Best Actor in a Leading Role,8,William Kelley,Pamela Wallace,Peter Weir,Harrison Ford,Kelly McGillis,Lukas Haas,Crime' 'Drama,Crime,Drama,1985-02-08,Winter
737,tt0257044,Road to Perdition,English,USA,117,R,72.0,80000000.0,DreamWorks Distribution,Best Actor in a Supporting Role,6,Max Allan Collins,Richard Piers Rayner,Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,Crime' 'Drama,Crime,Drama,2002-07-12,Summer
743,tt0947798,Black Swan,English,USA,108,R,79.0,13000000.0,Fox Searchlight Pictures,Best Motion Picture of the Year,5,Mark Heyman,Andres Heinz,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Drama' 'Thriller,Drama,Thriller,2010-12-17,Winter
748,tt0104952,My Cousin Vinny,English,USA,120,R,68.0,11000000.0,Twentieth Century Fox,Best Actress in a Supporting Role,1,Dale Launer,,Jonathan Lynn,Joe Pesci,Marisa Tomei,Ralph Macchio,Comedy' 'Crime,Comedy,Crime,1992-03-13,Winter
749,tt2980516,The Theory of Everything,English,UK,123,PG-13,72.0,15000000.0,Focus Features,Best Motion Picture of the Year,5,Anthony McCarten,Jane Hawking,James Marsh,Eddie Redmayne,Felicity Jones,Tom Prior,Biography' 'Drama,Biography,Drama,2014-11-26,Fall
754,tt0113158,Georgia,English,France,115,R,81.0,25631250.0,Miramax,Best Actress in a Supporting Role,1,Barbara Turner,,Ulu Grosbard,Jennifer Jason Leigh,Mare Winningham,Ted Levine,Drama' 'Music,Drama,Music,1995-12-08,Winter
755,tt0101889,The Fisher King,English,USA,137,R,61.0,24000000.0,TriStar Pictures,Best Actor in a Leading Role,5,Richard LaGravenese,,Terry Gilliam,Jeff Bridges,Robin Williams,Adam Bryant,Comedy' 'Drama,Comedy,Drama,1991-09-27,Fall
760,tt0095159,A Fish Called Wanda,English,UK,108,R,80.0,7500000.0,MGM/UA Distribution Company,Best Actor in a Supporting Role,3,John Cleese,Charles Crichton,Charles Crichton,John Cleese,Jamie Lee Curtis,Kevin Kline,Comedy' 'Crime,Comedy,Crime,1988-07-29,Summer
763,tt0418773,Junebug,English,USA,106,R,80.0,1000000.0,Sony Pictures Classics,Best Performance by an Actress in a Supporting Role,1,Angus MacLachlan,,Phil Morrison,Embeth Davidtz,Alessandro Nivola,David Kuhn,Comedy' 'Drama,Comedy,Drama,2005-09-16,Fall
764,tt0790712,The Messenger,English,USA,113,R,77.0,6500000.0,Oscilloscope,Best Performance by an Actor in a Supporting Role,2,Alessandro Camon,Oren Moverman,Oren Moverman,Ben Foster,Samantha Morton,Woody Harrelson,Drama' 'Romance,Drama,Romance,2009-12-04,Winter
766,tt0083987,Gandhi,English,UK,191,PG,79.0,22000000.0,Columbia Pictures,Best Actor in a Leading Role,11,John Briley,,Richard Attenborough,Ben Kingsley,John Gielgud,Rohini Hattangadi,Biography' 'Drama,Biography,Drama,1983-02-25,Winter
777,tt0498380,Letters from Iwo Jima,Japanese,USA,141,R,89.0,19000000.0,Warner Bros.,Best Motion Picture of the Year,4,Iris Yamashita,Iris Yamashita,Clint Eastwood,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Action' 'Adventure,Action,Adventure,2007-02-02,Winter
